IP Address,Duration (in seconds),age,gender_men,participant_race_WHITE,participant_race_NONBLACK,participant_race_BLACK,participant_EDU,What political party do you most identify with? - Selected Choice,political_ideology_continuous,educationsystem_effectiveness,courtsystem_effectiveness,economicsystem_effectiveness,prisonsystem_effectiveness,healthcaresystem_effectiveness,educationsystem_fairness,courtsystem_fairness,economicsystem_fairness,prisonsystem_fairness,healthcaresystem_fairness,courtprisonsystem_effectiveness_attitudes,courtprisonsystem_fairness_attitudes,courtsystem_effectivenessfairness_attitudes,prisonsystem_effectivenessfairness_attitudes,courtprisonsystem_attitdues,allsystem_effectiveness_attitudes,allsystem_fairness_attitudes,allsystem_attitudes,voting_importance,juryduty_importance,condition_categorical,Condition_Blackdefendant,appropriate_penalty,verdict_PRE,confidence_guilty_PRE,confidence_notguilty_PRE,confidence_verdict_PRE,penalty_continuous_PRE_NA,penalty_continuous_PRE_0,verdict_POST,confidence_guilty_POST,confidence_verdict_POST,confidence_verdict_POST,penalty_continuous_POST_NA,penalty_continuous_POST_NA,impression_defendant_SES,impression_defendant_income,impression_defendant_EDU,impression_defendant_trustworthiness,impression_defendant_intelligence,impression_defendant_dangerous,impression_defendant_reckless,impression_defendant_dominant,impression_defendant_competent,impression_defendant_hotheaded,impression_defendant_impulsive
68.7.0.248,431,28,1,0,1,0,5,Democrat,3,2,3,2,1,2,2,3,1,1,1,2,2,3,1,2,2,1.6,1.8,6,5,black_standard,1,5,1,5,,5,4,4,1,6,,6,2,2,2,3,2,3,4,3,6,5,5,6,6
68.175.48.139,523,38,0,0,1,0,5,Independent,4,2,2,2,2,3,2,2,2,2,1,2,2,2,2,2,2.2,1.8,2,4,4,black_standard,1,5,1,5,,5,5,5,1,,,NA,2,2,3,2,2,3,4,5,6,5,3,6,5
172.56.96.42,1001,32,1,1,1,0,2,Independent,3,3,2,4,2,3,4,2,1,3,3,2,2.5,2,2.5,2.25,2.8,2.6,2.7,2,3,black_standard,1,8,1,6,,6,8,8,1,6,,6,8,8,2,2,3,3,4,5,6,6,5,5,4
70.44.135.155,450,23,1,0,1,0,3,Independent,4,1,2,1,1,1,2,2,1,2,2,1.5,2,2,1.5,1.75,1.2,1.8,1.5,4,2,black_standard,1,3,1,4,,4,4,4,0,,4,4,0,NA,3,3,2,4,4,3,3,3,4,2,3
98.215.140.85,354,26,1,1,1,0,4,Democrat,2,2,3,2,1,2,2,3,2,2,2,2,2.5,3,1.5,2.25,2,2.2,2.1,7,6,black_standard,1,3,1,6,,6,3,3,1,5,,5,2,2,2,2,2,3,3,4,6,4,3,6,6
67.8.108.20,617,70,0,1,1,0,3,Republican,7,NA,NA,NA,NA,NA,3,2,1,2,4,NA,2,NA,NA,NA,NA,2.4,NA,7,7,black_standard,1,2,1,7,,7,3,3,1,7,,7,3,3,2,1,2,2,5,7,7,7,6,7,7
81.161.7.136,818,38,1,1,1,0,6,Republican,5,4,4,3,4,4,4,2,3,2,3,4,2,3,3,3,3.8,2.8,3.3,5,4,black_standard,1,5,1,5,,5,5,5,0,,7,7,0,NA,3,4,NA,6,4,2,5,6,5,6,6
174.195.114.106,1528,70,1,1,1,0,6,Democrat,2,3,4,4,3,3,3,4,3,3,3,3.5,3.5,4,3,3.5,3.4,3.2,3.3,7,6,white_written,0,2,1,5,,5,2,2,0,,6,6,0,NA,2,1,2,5,4,5,3,5,5,6,5
172.59.88.193,647,49,0,0,0,1,2,Democrat,2,3,3,3,2,3,2,1,2,1,2,2.5,1,2,1.5,1.75,2.8,1.6,2.2,7,7,white_written,0,2,1,7,,7,2,2,1,6,,6,2,2,2,1,2,4,6,3,6,7,7,4,7
157.131.108.9,777,46,0,0,1,0,4,Democrat,5,2,4,3,3,3,2,3,3,3,2,3.5,3,3.5,3,3.25,3,2.6,2.8,7,7,white_written,0,5,1,4,,4,5,5,1,5,,5,3,3,2,2,2,5,5,5,6,4,5,5,5
72.201.62.234,767,40,0,1,1,0,6,Independent,3,2,2,3,2,2,2,2,1,2,2,2,2,2,2,2,2.2,1.8,2,7,7,white_written,0,5,1,5,,5,5,5,0,,5,5,2,2,3,2,3,4,5,6,6,6,5,6,6
172.56.72.254,571,50,0,1,1,0,3,Republican,3,2,3,2,2,1,3,3,2,2,2,2.5,2.5,3,2,2.5,2,2.4,2.2,6,6,white_written,0,2,1,4,,4,2,2,0,,3,3,0,NA,3,3,2,3,5,4,4,4,1,3,3
172.59.75.46,778,54,0,0,0,1,3,Independent,4,2,2,2,1,2,2,2,3,1,2,1.5,1.5,2,1,1.5,1.8,2,1.9,4,4,white_written,0,3,1,2,,2,3,3,1,2,,2,2,2,3,2,2,4,3,4,4,3,3,4,4
70.106.186.25,619,70,0,1,1,0,3,Democrat,3,2,2,1,1,1,3,3,1,1,2,1.5,2,2.5,1,1.75,1.4,2,1.7,6,6,white_written,0,8,1,6,,6,7,7,0,,4,4,0,NA,2,2,2,4,6,4,5,5,5,6,6
98.234.144.169,655,46,1,0,1,0,5,Independent,5,1,2,1,1,1,2,2,1,1,1,1.5,1.5,2,1,1.5,1.2,1.4,1.3,3,2,white_written,0,3,1,3,,3,3,3,0,,3,3,0,NA,1,2,3,4,3,4,4,4,4,3,3
204.111.44.161,485,35,1,1,1,0,3,Republican,6,1,2,1,2,2,2,1,2,2,1,2,1.5,1.5,2,1.75,1.6,1.6,1.6,6,5,white_written,0,2,1,4,,4,2,2,0,,5,5,0,NA,3,3,2,4,5,3,4,5,4,4,4
68.189.4.163,433,21,0,0,1,0,3,Democrat,2,3,3,2,1,3,2,2,2,1,3,2,1.5,2.5,1,1.75,2.4,2,2.2,6,4,white_written,0,6,1,5,,5,5,5,0,,4,4,0,NA,3,2,2,4,4,3,2,4,5,3,4
24.95.170.120,344,32,0,1,1,0,3,Independent,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,4,white_written,0,5,1,7,,7,5,5,0,,2,2,0,NA,3,2,3,4,4,4,4,5,4,5,5
99.132.93.140,388,42,1,1,1,0,3,Democrat,1,2,2,2,2,2,1,1,1,1,1,2,1,1.5,1.5,1.5,2,1,1.5,7,7,white_written,0,2,1,4,,4,2,2,1,4,,4,2,2,2,2,2,3,4,4,5,4,4,5,7
68.48.32.246,285,33,0,0,0,1,5,Democrat,5,4,3,2,3,4,2,2,2,2,2,3,2,2.5,2.5,2.5,3.2,2,2.6,6,4,white_written,0,2,1,5,,5,2,2,1,5,,5,2,2,3,2,3,4,4,4,4,4,4,4,4
47.51.235.182,266,,1,0,1,0,5,Democrat,2,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1.4,1.2,1.3,7,3,white_written,0,2,1,5,,5,2,2,0,,7,7,0,NA,3,2,3,4,5,3,4,4,7,4,6
68.109.190.182,379,69,0,1,1,0,4,Democrat,2,3,2,2,1,2,3,2,3,1,3,1.5,1.5,2,1,1.5,2,2.4,2.2,6,6,white_written,0,2,1,4,,4,2,2,0,,4,4,0,NA,2,1,2,4,4,5,4,5,4,5,5
67.132.173.26,416,44,1,1,1,0,5,Independent,3,2,2,2,1,2,2,2,2,1,2,1.5,1.5,2,1,1.5,1.8,1.8,1.8,5,6,white_written,0,0,1,5,,5,2,2,0,,6,6,0,NA,2,2,2,6,4,5,5,6,4,5,5
98.144.169.136,258,23,1,0,1,0,4,Democrat,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1.2,1,1.1,6,5,white_written,0,2,1,5,,5,2,2,0,,4,4,0,NA,2,2,3,4,4,4,5,3,4,4,5
47.153.102.205,2322,45,0,1,1,0,3,Independent,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6,6,white_southern,0,10,1,4,,4,8,8,0,,4,4,0,NA,2,2,2,4,4,3,3,3,4,2,3
69.118.50.107,521,19,1,0,1,0,2,Independent,4,1,1,2,1,2,2,1,2,1,2,1,1,1,1,1,1.4,1.6,1.5,7,7,white_southern,0,3,1,5,,5,3,3,0,,5,5,0,NA,3,3,2,4,4,5,5,5,3,5,4
172.59.33.78,1487,46,0,1,1,0,1,Independent,5,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1.2,1,1.1,2,6,white_southern,0,1,1,4,,4,2,2,0,,5,5,0,NA,2,1,1,5,5,1,1,1,5,1,1
172.89.173.10,388,22,1,NA,NA,NA,5,Democrat,3,3,2,3,2,4,3,2,3,2,4,2,2,2,2,2,2.8,2.8,2.8,5,3,white_southern,0,5,1,5,,5,6,6,1,4,,4,5,5,2,2,2,2,1,6,5,5,3,5,6
67.244.47.215,515,38,0,1,1,0,5,Democrat,2,3,2,3,1,3,1,1,1,1,1,1.5,1,1.5,1,1.25,2.4,1,1.7,7,7,white_southern,0,3,1,3,,3,2,2,0,,3,3,0,NA,3,2,2,4,5,2,2,3,5,3,4
76.39.60.150,601,25,1,0,1,0,3,Independent,4,1,1,1,1,1,2,2,2,2,2,1,2,1.5,1.5,1.5,1,2,1.5,7,6,white_southern,0,10,1,3,,3,2,2,0,,3,3,0,NA,3,2,2,4,4,4,4,4,4,5,4
70.185.34.67,1017,33,0,1,1,0,2,Other (Please specify): Apolitical,1,2,3,2,3,2,2,2,2,2,2,3,2,2.5,2.5,2.5,2.4,2,2.2,2,3,white_southern,0,2,1,4,,4,3,3,0,,5,5,0,NA,3,2,2,4,4,3,3,4,5,3,3
199.19.237.215,1070,36,0,1,1,0,3,Independent,4,2,3,1,2,2,2,2,1,2,2,2.5,2,2.5,2,2.25,2,1.8,1.9,2,2,white_southern,0,1,1,1,,1,2,2,1,6,,6,2,2,2,2,2,1,1,5,7,7,3,4,6
71.121.245.70,544,69,1,1,1,0,5,Democrat,3,3,3,4,3,3,4,4,3,3,4,3,3.5,3.5,3,3.25,3.2,3.6,3.4,7,7,white_southern,0,1,1,6,,6,2,2,0,,3,3,0,NA,2,2,2,5,5,2,2,4,5,3,3
76.188.209.61,753,57,0,1,1,0,5,Republican,3,3,4,4,4,4,3,3,2,3,4,4,3,3.5,3.5,3.5,3.8,3,3.4,6,6,white_southern,0,3,1,3,,3,2,2,0,,5,5,2,2,2,2,2,6,5,2,2,4,5,3,4
70.186.115.157,1129,24,1,0,0,1,2,Independent,4,1,1,1,1,1,2,2,4,2,4,1,2,1.5,1.5,1.5,1,2.8,1.9,3,5,white_southern,0,0,1,,,,2,2,0,,5,5,0,NA,1,1,2,3,3,4,7,4,3,7,6
73.132.58.220,525,28,1,1,1,0,5,Independent,2,1,2,4,1,3,1,2,1,1,1,1.5,1.5,2,1,1.5,2.2,1.2,1.7,6,5,white_southern,0,4,1,1,,1,4,4,0,,2,2,0,NA,2,2,2,3,2,4,5,5,3,6,5
173.18.100.253,395,67,0,1,1,0,6,Democrat,1,3,2,3,2,2,2,2,2,1,1,2,1.5,2,1.5,1.75,2.4,1.6,2,7,7,white_southern,0,5,1,3,,3,3,3,0,,2,2,0,NA,2,2,2,3,3,4,4,3,4,5,6
172.59.233.67,483,21,0,0,1,0,5,Democrat,3,3,3,2,2,2,3,2,3,2,1,2.5,2,2.5,2,2.25,2.4,2.2,2.3,6,6,white_southern,0,10,1,3,,3,4,4,0,,2,2,0,NA,2,2,2,3,6,4,6,3,5,5,4
104.35.27.91,895,25,1,0,1,0,5,Independent,4,2,5,3,1,3,1,1,1,1,1,3,1,3,1,2,2.8,1,1.9,7,4,white_southern,0,5,1,3,,3,5,5,1,5,,5,5,5,2,2,2,4,4,4,7,4,4,5,4
76.136.47.6,997,35,0,0,1,0,5,Democrat,5,3,3,2,2,2,2,2,2,2,2,2.5,2,2.5,2,2.25,2.4,2,2.2,4,4,white_southern,0,3,1,5,,5,3,3,0,,4,4,0,NA,3,2,2,5,3,4,6,4,4,5,5
98.239.80.91,470,36,1,1,1,0,2,Democrat,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,3,white_southern,0,5,1,4,,4,5,5,1,3,,3,3,3,3,3,2,3,3,4,4,3,3,4,4
159.235.160.112,281,26,1,1,1,0,2,Democrat,2,2,3,2,1,1,3,2,1,1,1,2,1.5,2.5,1,1.75,1.8,1.6,1.7,7,1,white_southern,0,5,1,6,,6,5,5,1,6,,6,5,5,2,2,2,2,2,7,5,2,2,7,7
174.194.199.163,510,19,0,0,1,0,3,Democrat,5,2,3,1,2,2,2,2,1,2,1,2.5,2,2.5,2,2.25,2,1.6,1.8,5,4,white_standard,0,3,1,5,,5,3,3,0,,5,5,0,NA,2,3,2,4,4,3,4,4,5,5,4
172.56.161.185,443,23,0,0,1,0,5,Democrat,1,2,2,3,2,2,2,2,2,2,1,2,2,2,2,2,2.2,1.8,2,4,2,white_standard,0,0,1,2,,2,2,2,1,3,,3,2,2,3,3,3,2,5,5,6,6,5,6,6
12.74.212.70,1603,33,0,0,0,1,6,Democrat,3,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,1.6,1.8,5,5,white_standard,0,0,1,6,,6,2,2,1,4,,4,2,2,3,2,3,4,4,3,4,4,4,3,3
166.181.87.124,634,33,0,1,1,0,3,Democrat,4,1,2,2,2,2,1,1,3,3,3,2,2,1.5,2.5,2,1.8,2.2,2,7,7,white_standard,0,4,1,5,,5,4,4,1,5,,5,4,4,2,2,2,2,3,6,5,5,4,6,5
172.56.248.106,290,31,0,1,1,0,2,Democrat,1,2,2,2,2,1,1,1,1,1,1,2,1,1.5,1.5,1.5,1.8,1,1.4,4,7,white_standard,0,5,1,4,,4,5,5,1,7,,7,5,5,2,1,2,3,6,5,6,6,5,6,6
67.10.254.132,473,24,0,0,0,1,4,Democrat,2,1,3,1,1,1,3,2,1,1,1,2,1.5,2.5,1,1.75,1.4,1.6,1.5,5,1,white_standard,0,7,1,6,,6,8,8,0,,2,2,0,NA,2,2,3,4,3,6,1,6,4,1,4
166.196.82.144,586,25,0,1,1,0,4,Independent,4,2,2,1,2,1,1,2,1,3,1,2,2.5,2,2.5,2.25,1.6,1.6,1.6,6,4,white_standard,0,2,1,4,,4,2,2,1,5,,5,5,5,3,3,3,2,3,5,6,6,2,6,6
104.179.206.170,750,31,1,1,1,0,2,Independent,6,4,3,2,3,3,5,4,2,4,4,3,4,3.5,3.5,3.5,3,3.8,3.4,7,7,white_standard,0,7,1,6,,6,7,7,1,6,,6,5,5,3,2,2,3,4,6,6,5,5,6,5
98.25.102.156,632,65,0,1,1,0,3,Republican,7,2,1,4,2,3,2,2,3,3,3,1.5,2.5,1.5,2.5,2,2.4,2.6,2.5,7,7,white_standard,0,2,1,7,,7,2,2,1,7,,7,2,2,3,2,3,5,7,3,7,3,6,6,7
76.169.42.200,590,21,0,0,1,0,2,Democrat,3,1,2,4,1,2,1,2,2,2,1,1.5,2,2,1.5,1.75,2,1.6,1.8,4,4,white_standard,0,3,1,6,,6,3,3,0,,3,3,0,NA,2,1,3,5,4,3,2,2,3,1,2
174.242.208.245,2733,35,0,1,1,0,4,Democrat,5,3,2,2,3,3,4,2,3,2,2,2.5,2,2,2.5,2.25,2.6,2.6,2.6,6,7,white_standard,0,6,1,5,,5,6,6,1,5,,5,8,8,2,1,2,2,6,5,6,6,2,5,6
67.167.201.238,464,20,0,0,1,0,3,Democrat,3,3,3,4,4,4,2,3,2,4,2,3.5,3.5,3,4,3.5,3.6,2.6,3.1,7,5,white_standard,0,5,1,4,,4,5,5,0,,5,5,0,NA,3,2,3,4,5,1,6,2,5,3,4
108.24.85.196,398,44,0,1,1,0,3,Democrat,3,3,2,2,2,1,3,2,2,2,1,2,2,2,2,2,2,2,2,6,4,white_standard,0,2,1,3,,3,2,2,0,,4,4,0,NA,3,3,2,5,4,4,4,4,5,4,4
162.227.162.26,537,29,1,1,1,0,5,Independent,3,2,4,4,2,1,2,2,3,1,2,3,1.5,3,1.5,2.25,2.6,2,2.3,6,5,white_standard,0,0,1,3,,3,3,3,1,2,,2,2,2,3,3,3,3,3,2,3,5,3,5,5
100.19.43.71,271,26,0,0,1,0,6,Democrat,1,3,2,2,1,2,1,2,2,1,1,1.5,1.5,2,1,1.5,2,1.4,1.7,7,7,white_standard,0,2,1,5,,5,3,3,0,,4,4,0,NA,3,3,3,3,5,5,6,4,5,6,7
98.117.95.227,523,54,1,0,0,1,5,Democrat,2,2,2,1,1,1,1,1,1,1,1,1.5,1,1.5,1,1.25,1.4,1,1.2,7,4,white_standard,0,5,1,6,,6,3,3,0,,2,2,0,NA,2,2,2,5,3,1,5,3,6,4,5
99.43.187.111,467,52,1,1,1,0,5,Republican,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,7,white_standard,0,10,1,7,,7,10,10,1,7,,7,10,1NA,1,1,1,1,1,7,7,7,7,7,7
47.185.6.207,503,28,0,1,1,0,3,Democrat,2,2,2,1,1,2,2,2,1,1,1,1.5,1.5,2,1,1.5,1.6,1.4,1.5,5,6,white_standard,0,1,1,4,,4,2,2,1,6,,6,2,2,3,2,3,2,3,4,5,5,4,5,6
73.187.81.76,526,35,0,1,1,0,5,Democrat,4,2,2,2,1,2,2,2,2,2,2,1.5,2,2,1.5,1.75,1.8,2,1.9,4,3,white_standard,0,3,1,4,,4,3,3,0,,4,4,0,NA,2,3,3,4,5,2,4,3,5,5,2
99.102.143.192,305,41,1,1,1,0,6,Democrat,2,3,3,3,2,2,3,3,3,2,2,2.5,2.5,3,2,2.5,2.6,2.6,2.6,7,6,white_standard,0,5,1,4,,4,5,5,0,,4,4,0,NA,3,3,3,4,5,4,4,4,4,4,3
75.7.107.36,694,27,1,0,1,0,5,Democrat,2,3,3,2,2,2,2,3,2,2,3,2.5,2.5,3,2,2.5,2.4,2.4,2.4,6,4,white_standard,0,2,1,6,,6,3,3,1,3,,3,2,2,2,2,3,2,6,6,6,6,6,7,6
74.73.253.203,430,23,0,0,1,0,5,Democrat,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1.4,1,1.2,6,7,white_standard,0,5,1,4,,4,7,7,0,,4,4,5,5,2,2,3,4,3,4,4,4,4,6,4
68.98.121.133,4912,24,0,0,1,0,5,Democrat,3,4,3,4,4,4,4,4,4,4,4,3.5,4,3.5,4,3.75,3.8,4,3.9,5,5,white_incomplete,0,9,1,5,,5,6,6,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
